epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202113,2021-04-02,318,SC,São João Batista,4216305,city,3735,9680.4292,6,58,0,0.0155,38583,True,False
202113,2021-04-01,348,ES,Piúma,3204203,city,2116,9595.06643,13,58,0,0.0274,22053,True,False
202113,2021-03-28,339,AL,São Miguel dos Campos,2708600,city,2714,4391.79895,4,58,0,0.0214,61797,True,False
202114,2021-04-04,357,RS,Rio Pardo,4315701,city,1084,2832.876,0,59,0,0.0544,38265,True,False
202114,2021-04-04,348,RS,Triunfo,4322004,city,1526,5111.20043,0,59,0,0.0387,29856,True,False
202113,2021-04-03,356,CE,Trairi,2313500,city,1266,2249.02738,1,59,0,0.0466,56291,True,False
202113,2021-04-03,339,PA,Prainha,1506005,city,1441,4828.11767,6,59,0,0.0409,29846,True,False
202113,2021-04-03,352,PE,Pesqueira,2610905,city,2656,3921.16336,0,59,0,0.0222,67735,True,False
202113,2021-04-03,362,SP,Itatiba,3523404,city,6116,4989.35398,9,59,0,0.0096,122581,True,False
202113,2021-04-02,362,PR,Bandeirantes,4102406,city,2244,7189.77284,7,59,0,0.0263,31211,True,False
202113,2021-04-02,362,SC,Timbó,4218202,city,5772,12833.22587,13,59,3,0.0102,44977,True,False
202113,2021-04-01,347,RJ,Santo Antônio de Pádua,3304706,city,3168,7437.66728,32,59,0,0.0186,42594,True,False
202112,2021-03-21,308,MG,Ouro Preto,3146107,city,3113,4175.27294,0,59,1,0.019,74558,True,False
202113,2021-04-03,384,CE,Aquiraz,2301000,city,3775,4664.23673,36,60,1,0.0159,80935,True,False
202113,2021-04-03,349,PA,Santa Izabel do Pará,1506500,city,1545,2150.70228,0,60,0,0.0388,71837,True,False
202113,2021-04-03,345,SP,Barra Bonita,3505302,city,2401,6646.1828,4,60,0,0.025,36126,True,False
202113,2021-04-03,327,SP,Guapiara,3517604,city,1547,9086.6373,0,60,0,0.0388,17025,True,False
202113,2021-04-03,325,SP,Itápolis,3522703,city,2214,5109.5059,4,60,0,0.0271,43331,True,False
202113,2021-04-03,342,SP,Santa Fé do Sul,3546603,city,2274,6983.38605,2,60,0,0.0264,32563,True,False
202113,2021-04-02,336,AM,Barreirinha,1300508,city,2225,6849.73679,1,60,0,0.027,32483,True,False
202113,2021-04-02,372,BA,Ipiaú,2913903,city,2911,6339.00963,3,60,0,0.0206,45922,True,False
202113,2021-04-02,312,SC,Curitibanos,4204806,city,2417,6058.70704,18,60,1,0.0248,39893,True,False
202113,2021-03-28,360,AL,Marechal Deodoro,2704708,city,4353,8310.42383,15,60,0,0.0138,52380,True,False
202113,2021-04-03,347,SP,Cabreúva,3508405,city,2711,5375.87499,2,61,0,0.0225,50429,True,False
202113,2021-04-03,341,SP,Cosmópolis,3512803,city,4384,5966.73653,19,61,0,0.0139,73474,True,False
202113,2021-04-02,346,AM,Nova Olinda do Norte,1303106,city,2437,6408.77294,8,61,0,0.025,38026,True,False
202113,2021-04-02,364,PR,Palmas,4117602,city,3343,6459.2793,18,61,0,0.0182,51755,True,False
202113,2021-04-02,342,RO,Candeias do Jamari,1100809,city,3113,11366.29181,12,61,1,0.0196,27388,True,False
202113,2021-03-31,359,SE,Simão Dias,2807105,city,2129,5243.06753,0,61,0,0.0287,40606,True,False
202114,2021-04-04,313,RS,Panambi,4313904,city,4238,9603.87962,0,62,0,0.0146,44128,True,False
202113,2021-04-03,348,CE,Barbalha,2301901,city,3308,5402.75691,6,62,0,0.0187,61228,True,False
202113,2021-04-03,334,PA,Portel,1505809,city,2324,3692.11216,7,62,0,0.0267,62945,True,False
202113,2021-04-03,354,PI,Altos,2200400,city,3366,8289.6195,9,62,0,0.0184,40605,True,False
202113,2021-04-03,358,SP,Américo Brasiliense,3501707,city,2804,6833.69078,1,62,1,0.0221,41032,True,False
202113,2021-04-03,346,SP,Cajati,3509254,city,2738,9609.0405,0,62,0,0.0226,28494,True,False
202113,2021-04-02,365,PR,Campina Grande do Sul,4104006,city,3874,8868.03251,14,62,1,0.016,43685,True,False
202113,2021-04-02,370,PR,Marechal Cândido Rondon,4114609,city,4094,7653.05169,14,62,2,0.0151,53495,True,False
202113,2021-04-01,336,RJ,Itaocara,3302106,city,1532,6597.19232,5,62,0,0.0405,23222,True,False
202113,2021-03-31,354,GO,Uruaçu,5221601,city,2667,6530.36239,16,62,0,0.0232,40840,True,False
202113,2021-03-31,336,SE,Tobias Barreto,2807402,city,2581,4913.38283,11,62,0,0.024,52530,True,False
202113,2021-04-03,363,SP,Boituva,3507001,city,3571,5743.92794,11,63,0,0.0176,62170,True,False
202113,2021-04-03,354,SP,Capão Bonito,3510203,city,2562,5437.41245,0,63,0,0.0246,47118,True,False
202113,2021-04-03,354,SP,Pederneiras,3536703,city,2573,5461.56948,37,63,0,0.0245,47111,True,False
202113,2021-04-02,346,AM,Rio Preto da Eva,1303569,city,4297,12598.9562,2,63,0,0.0147,34106,True,False
202113,2021-04-02,369,PR,Matinhos,4115705,city,2027,5755.41611,3,63,3,0.0311,35219,True,False
202113,2021-03-31,325,GO,Porangatu,5218003,city,1813,3973.00199,22,63,1,0.0347,45633,True,False
202111,2021-03-16,346,RN,Areia Branca,2401107,city,1512,5406.3718,434,63,6,0.0417,27967,True,False
202114,2021-04-04,357,RS,Teutônia,4321451,city,3368,9974.53059,0,64,0,0.019,33766,True,False
202113,2021-04-03,367,CE,Icó,2305407,city,3914,5742.2024,2,64,1,0.0164,68162,True,False
202113,2021-04-03,346,SP,Espírito Santo do Pinhal,3515186,city,3176,7141.73281,10,64,0,0.0202,44471,True,False
202113,2021-04-03,342,SP,Ituverava,3524105,city,1057,2513.97312,0,64,0,0.0605,42045,True,False
202113,2021-04-02,305,PR,Clevelândia,4105706,city,1529,9294.83283,14,64,0,0.0419,16450,True,False
202113,2021-04-02,359,SC,Barra Velha,4202107,city,3124,10462.15673,21,64,0,0.0205,29860,True,False
202113,2021-04-02,376,SC,Içara,4207007,city,5228,9132.35628,25,64,0,0.0122,57247,True,False
202113,2021-03-28,347,AL,União dos Palmares,2709301,city,1442,2191.82247,3,64,0,0.0444,65790,True,False
202113,2021-04-03,322,MT,Guarantã do Norte,5104104,city,2508,6941.59978,26,65,1,0.0259,36130,True,False
202113,2021-04-03,360,SP,Artur Nogueira,3503802,city,2694,4868.08818,7,65,0,0.0241,55340,True,False
202113,2021-04-03,370,SP,Itupeva,3524006,city,3717,5917.56484,22,65,0,0.0175,62813,True,False
202113,2021-04-02,347,PR,Mandaguari,4114203,city,2978,8628.1327,2,65,0,0.0218,34515,True,False
202113,2021-04-02,332,PR,Marialva,4114807,city,3259,9102.33493,1,65,0,0.0199,35804,True,False
202113,2021-04-01,339,ES,Ibatiba,3202454,city,2686,10164.2322,16,65,0,0.0242,26426,True,False
202113,2021-04-01,357,RJ,Cachoeiras de Macacu,3300803,city,2108,3554.62624,13,65,0,0.0308,59303,True,False
202112,2021-03-21,360,MG,Campo Belo,3111200,city,2912,5374.08187,0,65,0,0.0223,54186,True,False
202112,2021-03-21,358,MG,Extrema,3125101,city,5990,16210.65736,50,65,0,0.0109,36951,True,False
202114,2021-04-04,375,RS,Marau,4311809,city,5737,12789.24607,17,66,0,0.0115,44858,True,False
202113,2021-04-03,363,PE,Paudalho,2610608,city,1815,3187.95777,1,66,0,0.0364,56933,True,False
202113,2021-04-03,361,SP,Batatais,3505906,city,1842,2924.73801,0,66,0,0.0358,62980,True,False
202113,2021-04-03,354,SP,Monte Mor,3531803,city,3164,5207.88755,7,66,0,0.0209,60754,True,False
202113,2021-04-02,353,BA,Irecê,2914604,city,6374,8669.27806,15,66,1,0.0104,73524,True,False
202113,2021-04-02,333,BA,São Sebastião do Passé,2929503,city,2739,6164.75354,22,66,2,0.0241,44430,True,False
202113,2021-04-02,348,PR,Ibiporã,4109807,city,4077,7395.11346,7,66,1,0.0162,55131,True,False
202113,2021-04-02,358,PR,Paiçandu,4117503,city,2954,7071.5534,13,66,1,0.0223,41773,True,False
202113,2021-03-31,358,GO,Goiatuba,5209101,city,3304,9660.25379,31,66,4,0.02,34202,True,False
202112,2021-03-21,340,MG,Leopoldina,3138401,city,3025,5746.58055,30,66,0,0.0218,52640,True,False
202112,2021-03-21,354,MG,Santana do Paraíso,3158953,city,4460,12609.91264,55,66,0,0.0148,35369,True,False
202111,2021-03-16,350,RN,Ceará-Mirim,2402600,city,1466,1984.13773,394,66,16,0.045,73886,True,False
202113,2021-04-03,355,PA,Canaã dos Carajás,1502152,city,6957,18258.40485,0,67,2,0.0096,38103,True,False
202113,2021-04-03,341,SP,Novo Horizonte,3533502,city,2782,6717.53513,6,67,2,0.0241,41414,True,False
202113,2021-04-03,351,SP,Serrana,3551504,city,3434,7523.44229,0,67,0,0.0195,45644,True,False
202113,2021-04-02,351,SC,Penha,4212502,city,3619,10873.09218,15,67,1,0.0185,33284,True,False
202113,2021-04-02,362,SC,Videira,4219309,city,6389,11917.5527,21,67,0,0.0105,53610,True,False
202113,2021-04-01,370,RJ,Mangaratiba,3302601,city,2129,4708.09376,6,67,0,0.0315,45220,True,False
202113,2021-04-01,357,RJ,Paracambi,3303609,city,1919,3642.54124,53,67,1,0.0349,52683,True,False
202112,2021-03-21,361,MG,São João del Rei,3162500,city,3532,3902.89181,16,67,0,0.019,90497,True,False
202113,2021-04-03,347,PA,Curuçá,1502905,city,2112,5204.02129,0,68,0,0.0322,40584,True,False
202113,2021-04-03,353,PE,Escada,2605202,city,631,910.63903,0,68,0,0.1078,69292,True,False
202113,2021-04-03,354,SP,Lorena,3527207,city,3172,3559.04628,14,68,0,0.0214,89125,True,False
202113,2021-04-03,361,SP,Mococa,3530508,city,3567,5171.06408,0,68,0,0.0191,68980,True,False
202113,2021-04-02,354,AM,Lábrea,1302405,city,5849,12476.00358,33,68,0,0.0116,46882,True,False
202113,2021-04-02,370,BA,Itamaraju,2915601,city,4622,7170.89442,48,68,1,0.0147,64455,True,False
202113,2021-04-01,364,RJ,Iguaba Grande,3301876,city,2722,9439.26206,37,68,0,0.025,28837,True,False
202113,2021-04-01,360,RJ,Sapucaia,3305406,city,2166,11869.14351,10,68,2,0.0314,18249,True,False
202113,2021-03-31,329,GO,Iporá,5210208,city,2488,7898.66345,13,68,0,0.0273,31499,True,False
202113,2021-03-28,357,AL,Palmeira dos Índios,2706307,city,3048,4156.15583,12,68,2,0.0223,73337,True,False
202112,2021-03-21,347,MG,Pará de Minas,3147105,city,2390,2520.88431,0,68,1,0.0285,94808,True,False
